12,17,23
12,22,23
12,15,17,23
12,17,22,23
12,21,22,23
12,15,22,23
12,21,17,23
12,22,17,23
12,13,17,23
12,9,13,17,23
12,11,15,22,23
12,21,15,22,23
12,15,17,22,23
12,13,17,22,23
12,21,17,22,23
12,15,21,22,23
12,17,21,22,23
12,17,15,22,23
12,11,15,17,23
12,22,15,17,23
12,21,15,17,23
12,15,21,17,23
12,22,21,17,23
12,15,22,17,23
12,21,22,17,23
12,21,22,15,17,23
12,17,21,15,22,23
12,21,20,15,22,23
12,21,17,15,22,23
12,9,13,17,22,23
12,15,21,17,22,23
12,21,15,17,22,23
12,11,15,17,22,23
12,17,15,21,22,23
12,15,20,21,22,23
12,13,17,21,22,23
12,15,17,21,22,23
12,11,15,21,22,23
12,13,17,15,22,23
12,22,21,15,17,23
12,21,20,15,17,23
12,15,22,21,17,23
12,15,20,21,17,23
12,22,15,21,17,23
12,11,15,21,17,23
12,15,21,22,17,23
12,21,15,22,17,23
12,11,15,22,17,23
