21,15,11
21,12,11
21,17,15,11
21,17,12,11
21,22,12,11
21,15,12,11
21,20,15,11
21,22,15,11
21,12,15,11
21,12,9,8,11
21,22,17,15,11
21,12,22,15,11
21,17,22,15,11
21,22,12,15,11
21,17,12,15,11
21,20,14,15,11
21,12,17,15,11
21,22,15,12,11
21,20,15,12,11
21,15,17,12,11
21,22,17,12,11
21,15,22,12,11
21,17,22,12,11
21,17,13,12,11
21,17,15,12,11
21,15,14,10,11
21,20,14,10,11
21,20,18,10,11
21,12,9,7,8,11
21,17,22,12,15,11
21,22,17,12,15,11
21,20,18,14,15,11
21,12,13,17,15,11
21,22,12,17,15,11
21,22,23,17,15,11
21,12,22,17,15,11
21,17,12,22,15,11
21,17,23,22,15,11
21,12,17,22,15,11
21,17,13,12,15,11
21,15,17,13,12,11
21,22,17,13,12,11
21,20,14,15,12,11
21,17,22,15,12,11
21,22,17,15,12,11
21,22,23,17,12,11
21,15,22,17,12,11
21,20,15,17,12,11
21,22,15,17,12,11
21,17,15,22,12,11
21,17,23,22,12,11
21,15,17,22,12,11
21,20,15,22,12,11
21,17,13,9,12,11
21,17,15,14,10,11
21,15,20,14,10,11
21,20,18,14,10,11
21,20,15,14,10,11
21,22,15,14,10,11
21,12,15,14,10,11
21,15,20,18,10,11
21,20,14,18,10,11
21,15,14,18,10,11
21,12,9,8,10,11
21,15,12,9,8,11
21,12,13,9,8,11
21,17,13,9,8,11
21,17,12,9,8,11
21,22,12,9,8,11
21,20,18,10,8,11
21,20,14,10,8,11
21,15,14,10,8,11
